"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"Ameriprise Financial","AMP","Strong Sell","Strong Sell","Sell","Neutral"
"AmerisourceBergen","ABC","Buy","Strong Sell","Strong Sell","Strong Sell"
"Ametek","AME","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Amgen","AMGN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Amphenol","APH","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Anadarko Petroleum","APC","Strong Sell","Strong Sell","Buy","Strong Buy"
"Analog Devices","ADI","Strong Buy","Sell","Buy","Strong Buy"
"Andeavor","ANDV","Sell","Strong Buy","Strong Buy","Strong Buy"
"ANSYS","ANSS","Strong Buy","Sell","Strong Buy","Strong Buy"
"Anthem Inc","ANTM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AO Smith","AOS","Neutral","Strong Sell","Strong Sell","Neutral"
"Aon","AON","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Apache","APA","Strong Buy","Buy","Strong Buy","Neutral"
"Apartment Invest","AIV","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Apple","AAPL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Applied Materials","AMAT","Strong Buy","Strong Buy","Neutral","Neutral"
"Aptiv","APTV","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Archer-Daniels-Midland","ADM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Arconic Inc","ARNC","Neutral","Strong Buy","Neutral","Strong Sell"
"Arthur J Gallagher","AJG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Assurant","AIZ","Sell","Buy","Strong Buy","Strong Buy"
"AT&T","T","Strong Buy","Strong Buy","Strong Sell","Strong Sell"
"Autodesk","ADSK","Strong Buy","Neutral","Neutral","Strong Buy"
"AutoZone","AZO","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AvalonBay","AVB","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
