"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"Eli Lilly","LLY","1.12%","4.12%","16.20%","19.09%","22.20%","18.71%"
"Emerson","EMR","0.28%","0.31%","3.32%","2.57%","16.89%","43.22%"
"Entergy","ETR","1.22%","4.00%","2.21%","2.92%","8.96%","23.41%"
"Envision Healthcare","EVHC","0.16%","0.38%","0.89%","28.44%","-20.43%","-46.04%"
"EOG Resources","EOG","-2.80%","-5.22%","-0.66%","13.44%","35.33%","60.88%"
"EQT","EQT","1.76%","1.02%","-8.39%","-11.52%","-19.37%","-32.35%"
"Equifax","EFX","1.57%","3.46%","1.26%","8.34%","-12.15%","23.42%"
"Equinix","EQIX","1.68%","2.76%","3.47%","0.49%","2.21%","68.48%"
"Equity Residential","EQR","1.42%","4.50%","3.98%","4.92%","-0.61%","0.62%"
"Essex Property","ESS","3.51%","3.91%","1.55%","0.43%","-7.48%","8.02%"
"Estee Lauder","EL","-1.28%","-1.32%","-5.96%","6.09%","36.93%","48.32%"
"Everest","RE","0.33%","-2.43%","-4.31%","-0.26%","-16.93%","19.66%"
"Eversource Energy","ES","1.55%","1.41%","2.03%","-3.56%","-1.06%","23.74%"
"Exelon","EXC","0.47%","0.69%","-1.00%","7.82%","11.32%","33.91%"
"Expedia","EXPE","-0.56%","-4.13%","6.68%","10.29%","-12.72%","4.19%"
"Expeditors Washington","EXPD","-0.13%","1.69%","5.88%","18.36%","28.56%","57.75%"
"Express Scripts","ESRX","-0.59%","-2.43%","-3.05%","3.86%","23.97%","-14.58%"
"Extra Space Storage","EXR","1.37%","-0.75%","-8.41%","5.43%","18.59%","23.44%"
"Exxon Mobil","XOM","0.36%","-2.10%","-2.56%","-4.11%","-0.01%","3.93%"
"F5 Networks","FFIV","-0.02%","-1.15%","-2.46%","31.25%","43.79%","30.28%"
"Facebook","FB","0.80%","1.65%","-10.42%","0.75%","4.81%","84.34%"
"Fastenal","FAST","-0.28%","-0.44%","17.01%","2.87%","28.27%","37.62%"
"Federal Realty","FRT","1.73%","6.25%","1.54%","-3.46%","-4.06%","-5.85%"
"FedEx","FDX","0.91%","1.03%","6.45%","-2.49%","16.24%","42.05%"
"Fidelity National Info","FIS","0.92%","-3.00%","-3.09%","10.77%","15.33%","58.53%"
"Fifth Third","FITB","-1.00%","0.68%","3.09%","-2.08%","9.31%","39.16%"
"FirstEnergy","FE","0.36%","4.40%","-0.30%","19.37%","13.97%","8.91%"
"Fiserv","FISV","1.41%","0.17%","1.63%","16.31%","23.90%","72.24%"
"FLIR Systems","FLIR","-1.11%","-1.42%","12.09%","24.67%","54.78%","89.01%"
"Flowserve","FLS","2.96%","3.79%","10.97%","6.57%","9.01%","-3.52%"
"Fluor","FLR","7.64%","10.42%","14.20%","7.74%","38.92%","17.85%"
"FMC","FMC","1.44%","-1.00%","-1.26%","-7.26%","4.08%","81.01%"
"Foot Locker","FL","-1.05%","-0.40%","-9.53%","0.60%","-3.76%","-34.91%"
"Ford Motor","F","1.21%","1.11%","-9.14%","-19.62%","-8.31%","-32.16%"
"Fortive","FTV","0.35%","1.75%","5.28%","12.25%","20.90%","-"
"Fortune Brands","FBHS","0.03%","0.33%","6.01%","-15.96%","-11.82%","20.92%"
"Fox Inc","FOX","0.58%","0.47%","-6.75%","31.65%","60.09%","44.16%"
"Franklin Resources","BEN","1.54%","-0.46%","1.83%","-25.46%","-26.26%","-28.52%"
"Freeport-McMoran","FCX","1.81%","-1.75%","-7.42%","-17.14%","9.02%","43.73%"
"Gap","GPS","0.93%","3.13%","-3.96%","-10.89%","27.15%","-13.75%"
"Garmin Ltd","GRMN","0.59%","3.15%","7.15%","8.96%","25.12%","56.67%"
"Gartner","IT","2.51%","1.39%","1.38%","12.22%","8.87%","50.38%"
"General Dynamics","GD","-0.44%","-2.30%","2.86%","-4.60%","-2.99%","29.55%"
"General Electric","GE","-0.23%","0.61%","-2.16%","-24.70%","-49.03%","-49.66%"
"General Mills","GIS","3.28%","5.02%","5.35%","-20.32%","-15.90%","-20.47%"
"General Motors","GM","3.03%","0.53%","-4.41%","-7.95%","6.97%","19.40%"
"Genuine Parts","GPC","0.21%","1.40%","7.29%","3.19%","16.88%","10.12%"
"GGP","GGP","0.61%","1.22%","4.62%","-7.99%","-3.02%","-19.70%"
"Gilead","GILD","0.39%","1.46%","7.03%","8.78%","6.52%","-34.32%"
"Global Payments","GPN","-0.34%","3.05%","5.96%","18.49%","21.54%","109.62%"
"Goldman Sachs","GS","0.04%","-1.49%","6.05%","-8.11%","1.87%","13.80%"
"H&R Block","HRB","0.72%","1.93%","7.60%","-3.32%","-15.75%","-29.25%"
"Halliburton","HAL","0.33%","0.60%","-5.40%","-13.96%","0.14%","3.55%"
"Hanesbrands","HBI","-1.70%","-17.53%","-19.27%","-14.06%","-26.02%","-37.84%"
"Harley-Davidson","HOG","2.56%","-0.72%","4.41%","-13.40%","-8.85%","-24.18%"
"Harris","HRS","-0.65%","5.52%","12.79%","14.63%","39.16%","95.50%"
"Hartford","HIG","0.00%","1.52%","2.05%","-6.25%","-6.27%","11.14%"
"Hasbro","HAS","0.88%","-1.76%","4.43%","9.51%","-3.83%","25.61%"
"HCA","HCA","3.90%","4.84%","25.78%","48.18%","65.03%","41.08%"
"HCP","HCP","3.08%","3.97%","1.03%","1.46%","-11.36%","-31.42%"
"Helmerich&Payne","HP","0.33%","0.77%","-3.81%","-5.17%","24.24%","6.68%"
"Henry Schein","HSIC","1.80%","3.42%","6.99%","14.81%","-10.22%","-45.37%"
"Hershey","HSY","1.66%","2.24%","4.20%","-12.64%","-5.44%","7.01%"
"Hess","HES","0.73%","4.23%","-0.12%","39.67%","49.49%","18.56%"
"Hewlett Packard","HPE","2.77%","2.50%","7.83%","11.28%","-8.74%","-"
"Hilton Worldwide","HLT","-0.33%","-0.34%","-1.89%","-2.10%","24.13%","43.45%"
"Hologic","HOLX","-0.02%","-0.87%","4.65%","-1.50%","7.29%","-0.40%"
"Home Depot","HD","-0.01%","-0.76%","0.63%","3.22%","28.08%","65.80%"
"Honeywell","HON","-0.55%","-2.70%","6.98%","1.10%","10.71%","46.64%"
"Hormel Foods","HRL","1.34%","1.01%","-0.13%","1.73%","9.95%","21.78%"
"Host Hotels Resorts","HST","-1.41%","3.94%","2.46%","8.97%","15.98%","14.87%"
"HP Inc","HPQ","0.56%","0.47%","2.59%","11.09%","20.50%","69.62%"
"Humana","HUM","0.75%","2.86%","5.86%","30.65%","31.79%","74.68%"
"Huntington Bancshares","HBAN","0.06%","1.42%","6.64%","8.04%","18.27%","33.64%"
"IBM","IBM","3.32%","1.76%","4.43%","-3.73%","1.75%","-6.46%"
"ICE","ICE","-0.11%","-4.57%","0.15%","3.19%","12.33%","53.25%"
"IDEXX Labs","IDXX","0.76%","0.57%","9.38%","55.16%","59.00%","223.00%"
"IFF","IFF","1.54%","2.27%","7.79%","-12.06%","-0.45%","14.47%"
"IHS Markit Ltd","INFO","-0.75%","-0.77%","0.65%","17.28%","14.14%","99.21%"
"Illinois Tool Works","ITW","0.37%","-0.47%","-0.94%","-16.36%","-2.33%","55.77%"
"Illumina Inc","ILMN","0.00%","10.41%","18.54%","52.18%","70.97%","54.03%"
"Incyte","INCY","-2.19%","-8.16%","-9.02%","-33.44%","-51.02%","-43.19%"
"Ingersoll-Rand","IR","0.34%","-0.79%","7.17%","8.70%","9.95%","61.69%"
"Intel","INTC","0.30%","4.09%","-2.21%","7.52%","36.72%","70.43%"
"International Paper","IP","1.00%","1.02%","0.69%","-9.30%","-2.56%","9.96%"
"Intuit","INTU","-0.28%","-3.37%","0.04%","30.02%","49.85%","92.12%"
"Intuitive Surgical","ISRG","0.13%","0.65%","7.22%","43.20%","68.39%","195.22%"
"Invesco","IVZ","0.76%","-3.16%","-5.24%","-31.17%","-27.25%","-35.06%"
"IPG","IPG","-0.27%","-1.78%","-1.70%","9.23%","3.33%","4.11%"
"IPG Photonics","IPGP","0.11%","-27.65%","-23.49%","-20.39%","6.05%","81.96%"
"Iron Mountain","IRM","0.51%","3.77%","0.22%","-5.22%","-3.35%","19.96%"
"J&J","JNJ","0.53%","0.30%","5.56%","-5.56%","-0.92%","31.27%"
"Jacobs Engineering","JEC","0.25%","-0.25%","4.08%","1.71%","27.84%","57.38%"
"JB Hunt","JBHT","-1.31%","1.65%","-0.54%","5.07%","33.45%","43.41%"
"Jefferies Financial","JEF","3.51%","-1.01%","8.36%","-7.47%","-6.41%","6.38%"
"JM Smucker","SJM","3.49%","5.65%","5.06%","-6.44%","-4.31%","2.42%"
"Johnson Controls","JCI","0.34%","5.21%","10.87%","-0.45%","-3.14%","-4.86%"
"JPMorgan","JPM","0.81%","0.91%","12.89%","9.49%","25.02%","70.36%"
"Juniper","JNPR","0.61%","0.61%","-5.29%","-7.58%","-6.40%","-6.76%"
"Kansas City Southern","KSU","0.23%","-0.92%","9.68%","10.03%","13.02%","18.80%"
"Kellogg","K","3.25%","1.05%","0.85%","6.13%","3.63%","5.08%"
"Keurig Dr Pepper","KDP","0.63%","-0.50%","20.62%","53.81%","64.66%","-71.12%"
"KeyCorp","KEY","0.14%","0.42%","9.15%","5.90%","16.09%","43.36%"
"Kimberly-Clark","KMB","1.15%","8.02%","9.30%","-3.28%","-3.81%","-0.77%"
"Kimco","KIM","2.15%","6.68%","1.48%","-5.84%","-15.90%","-30.67%"
"Kinder Morgan","KMI","-0.34%","-1.56%","0.23%","-2.49%","-12.77%","-45.35%"
"KLA-Tencor","KLAC","0.95%","11.17%","15.62%","13.82%","34.63%","127.18%"
"Kohl’s","KSS","0.58%","-0.29%","0.35%","33.34%","72.62%","18.23%"
"Kraft Heinz","KHC","8.55%","7.00%","0.83%","-17.08%","-25.59%","-19.88%"
"Kroger","KR","0.64%","4.29%","4.65%","9.03%","24.04%","-23.41%"
"L Brands","LB","1.31%","5.65%","-8.65%","-46.01%","-24.92%","-60.57%"
"L3 Tech","LLL","-0.02%","-0.25%","9.18%","6.85%","20.12%","82.96%"
"Laboratory of America","LH","1.37%","2.83%","-1.04%","12.16%","12.77%","40.50%"
"Lam Research","LRCX","0.10%","-1.44%","9.00%","1.75%","24.82%","152.92%"
"Leggett&Platt","LEG","1.42%","-1.07%","-2.83%","-8.61%","-9.76%","-9.05%"
"Lennar","LEN","1.32%","-1.21%","-3.09%","-18.60%","-5.11%","2.16%"
"Lincoln National","LNC","1.42%","-1.38%","5.29%","-13.32%","-10.26%","18.24%"
"LKQ","LKQ","0.66%","-1.50%","4.08%","-17.78%","-2.11%","5.32%"
"Lockheed Martin","LMT","-0.46%","-1.09%","7.14%","-0.16%","7.93%","53.06%"
"Loews","L","0.33%","2.75%","5.75%","2.22%","4.07%","35.65%"
"Lowe’s","LOW","0.20%","-0.38%","2.21%","5.05%","24.58%","39.59%"
"LyondellBasell Industries","LYB","3.39%","2.43%","4.01%","1.66%","26.32%","22.38%"
"M&T Bank","MTB","-0.13%","-0.67%","3.16%","2.01%","6.63%","31.90%"
"Macerich","MAC","1.07%","7.42%","5.11%","-7.86%","1.99%","-20.38%"
"Macy’s Inc","M","0.57%","-1.34%","5.58%","54.62%","67.17%","-43.48%"
"Marathon Oil","MRO","-1.39%","-1.39%","-0.77%","21.32%","59.22%","3.79%"
"Marathon Petroleum","MPC","-0.80%","-2.35%","13.64%","19.87%","41.76%","53.04%"
"Marriott Int","MAR","-0.73%","-0.28%","1.34%","-5.56%","22.06%","81.32%"
"Marsh McLennan","MMC","0.40%","-1.32%","-0.28%","2.16%","6.36%","42.65%"
"Martin Marietta Materials","MLM","1.07%","0.61%","-8.42%","-6.37%","-3.48%","21.64%"
"Masco","MAS","0.28%","0.28%","3.89%","-10.10%","3.05%","50.76%"
"Mastercard","MA","-0.40%","-0.86%","1.17%","32.93%","54.98%","104.74%"
"Mattel","MAT","-0.13%","2.31%","-6.07%","3.64%","-16.11%","-30.48%"
"McCormick&Co","MKC","1.58%","3.21%","2.88%","19.24%","28.58%","45.46%"
"McDonald’s","MCD","0.51%","-0.81%","-0.71%","-9.24%","1.55%","56.52%"
"McKesson","MCK","1.79%","1.87%","-7.23%","-19.07%","-18.41%","-43.50%"
"Medtronic","MDT","0.66%","2.05%","5.32%","12.05%","8.13%","15.01%"
"Merck&Co","MRK","1.09%","3.84%","6.96%","17.17%","4.48%","11.56%"
"MetLife","MET","-0.96%","-0.50%","4.06%","-10.34%","-5.66%","-18.34%"
"Mettler-Toledo","MTD","-0.37%","-0.55%","0.46%","-5.30%","1.74%","76.20%"
"MGM","MGM","-1.52%","-7.13%","0.42%","-14.56%","-10.25%","27.59%"
"Michael Kors","KORS","-0.65%","-3.70%","-2.62%","2.05%","74.57%","62.67%"
